,,26,0S,,50.0W,,UA_ID:,999,99  SF,_ID:,66666,OS_ID:,,VER,SION: 2,1112,CCVR_S,ub TEMP_,Sub,,,,,,,
23,1,3,3,12,155.8,0.24,1.638,0.01,1018,282,-8,0.3177,0.36,0.14,1.5,198,14,300.1,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,13,159.9,0.678,1.7,0.008,1108,1341,-175.9,0.386,0.36,0.14,5.7,151,14,302.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,3,3,14,154.7,0.939,1.72,0.005,1186,2179,-482.2,0.386,0.36,0.14,8.2,142,14,301.1,2,0,0,74,1010,3,NAD-SFC,NoSubs
23,1,3,3,15,138.4,0.84,1.686,0.005,1250,1869,-386.2,0.3177,0.36,0.14,7.7,187,14,299.1,2,0,0,79,1010,3,NAD-SFC,NoSubs
23,1,3,3,16,102.1,0.544,1.542,0.008,1295,1074,-141.7,0.3609,0.36,0.15,4.6,110,14,298.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,17,74,0.819,1.397,0.005,1329,1775,-668.4,0.386,0.36,0.16,7.2,139,14,299.1,2,0,0,70,1010,6,NAD-SFC,NoSubs
23,1,3,3,18,42.9,0.922,1.168,0.005,1337,2115,-1641.4,0.386,0.36,0.21,8.2,151,14,299.1,2,0,0,54,1010,3,NAD-SFC,NoSubs
23,1,3,3,19,5.1,0.859,0.575,0.005,1337,1921,-8888,0.386,0.36,0.39,7.7,137,14,298.1,2,0,0,65,1010,6,NAD-SFC,NoSubs
23,1,3,3,20,-64,0.838,-9,-9,-999,1845,828,0.386,0.36,1,7.7,148,14,298.1,2,0,0,61,1010,3,NAD-SFC,NoSubs
23,1,3,3,21,-41.4,0.472,-9,-9,-999,947,228.8,0.386,0.36,1,4.6,157,14,297.1,2,0,0,74,1010,6,NAD-SFC,NoSubs
23,1,3,3,22,-41.6,0.472,-9,-9,-999,783,227.9,0.386,0.36,1,4.6,149,14,296.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,3,3,23,-39.2,0.445,-9,-9,-999,715,203,0.3177,0.36,1,4.6,181,14,296.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,24,-36.2,0.41,-9,-9,-999,632,171.5,0.386,0.36,1,4.1,177,14,295.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,4,4,1,-39.3,0.445,-9,-9,-999,713,202.2,0.3177,0.36,1,4.6,186,14,295.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,4,4,2,-50.2,0.571,-9,-9,-999,1033,333.1,0.3177,0.36,1,5.7,186,14,296.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,4,4,3,-36.1,0.41,-9,-9,-999,654,172.2,0.386,0.36,1,4.1,178,14,296.1,2,0,0,78,1010,6,NAD-SFC,NoSubs
23,1,4,4,4,-34,0.386,-9,-9,-999,578,152.8,0.3177,0.36,1,4.1,189,14,296.1,2,0,0,78,1010,6,NAD-SFC,NoSubs
23,1,4,4,5,-39.2,0.445,-9,-9,-999,713,203,0.3177,0.36,1,4.6,191,14,296.1,2,0,0,73,1010,6,NAD-SFC,NoSubs
23,1,4,4,6,-34.1,0.386,-9,-9,-999,579,152.1,0.3177,0.36,1,4.1,202,14,295.1,2,0,0,78,1010,6,NAD-SFC,NoSubs
23,1,4,4,7,8.8,0.44,0.337,0.006,155,700,-866.9,0.3177,0.36,0.34,4.1,206,14,295.1,2,0,0,78,1010,3,NAD-SFC,NoSubs
23,1,4,4,8,49.3,0.382,0.826,0.005,411,569,-101.5,0.386,0.36,0.2,3.1,158,14,296.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,4,4,9,86.9,0.341,1.162,0.005,650,479,-41.2,0.3609,0.36,0.16,2.6,126,14,296.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,4,4,10,117.6,0.292,1.395,0.009,833,380,-19,0.3177,0.36,0.15,2.1,197,14,295.1,2,0,0,73,1010,2,NAD-SFC,Sub_CC
23,1,4,4,11,140.1,0.396,1.561,0.01,981,598,-39.9,0.3274,0.36,0.14,3.1,227,14,295.1,2,0,0,78,1010,1,NAD-SFC,NoSubs
23,1,4,4,12,138.1,0.487,1.607,0.012,1084,816,-75.5,0.3177,0.36,0.14,4.1,193,14,295.1,2,0,0,73,1010,6,NAD-SFC,NoSubs
23,1,4,4,13,141.1,0.584,1.639,0.011,1126,1070,-127.3,0.3177,0.36,0.14,5.1,205,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,14,136.6,0.691,1.639,0.007,1163,1375,-217.4,0.3177,0.36,0.14,6.2,212,14,295.1,2,0,0,73,1010,6,NAD-SFC,NoSubs
23,1,4,4,15,91.8,0.427,1.446,0.01,1187,746,-76.6,0.3177,0.36,0.14,3.6,201,14,294.1,2,0,0,83,1010,8,NAD-SFC,NoSubs
